"","FC","log2(FC)","raw.pval","-log10(p)"
"892.2366443",7.0393,2.8154,0.00037312,3.4282
"837.1989314",8.3037,3.0537,0.00062777,3.2022
"245.0938407",0.0078023,-7.0019,0.00076656,3.1155
"270.9638404",0.016952,-5.8824,0.00090003,3.0457
"213.1195498",0.014794,-6.0788,0.00091837,3.037
"352.9517043",0.016866,-5.8897,0.00092319,3.0347
"557.2903463",2.4806,1.3107,0.056334,1.2492
"136.0761876",3.6432,1.8652,0.069282,1.1594
"159.0516833",2.245,1.1667,0.072503,1.1396
"84.96074226",3.1383,1.65,0.079646,1.0988
"536.1757406",2.5159,1.3311,0.08741,1.0584
"99.00528293",3.0408,1.6044,0.096562,1.0152
"87.02359551",3.2652,1.7072,0.097809,1.0096
"272.9546444",0.24775,-2.013,0.098024,1.0087
"59.02047266",2.6523,1.4073,0.099001,1.0044
"166.9908656",2.7158,1.4414,0.10093,0.996
"523.149743",557.1,9.1218,0.10142,0.99388
"578.2335908",5.3691,2.4247,0.10471,0.98
"413.274474",2.3989,1.2624,0.11013,0.9581
"610.1953674",2.6157,1.3872,0.11095,0.95487
"282.0635082",2.4205,1.2753,0.11262,0.94837
"119.0385837",2.2071,1.1422,0.11278,0.94775
"580.2457518",1.9367,0.9536,0.1153,0.93817
"447.14133",1.9267,0.94611,0.11765,0.92942
"359.238785",0.30792,-1.6994,0.11791,0.92845
"279.1449235",0.31905,-1.6481,0.11983,0.92144
"101.0609912",2.6348,1.3977,0.1206,0.91866
"685.2815038",2.4981,1.3208,0.12086,0.91771
"342.9827089",2.7103,1.4384,0.12095,0.91741
"217.1286499",2.7104,1.4385,0.12129,0.91618
"150.0297289",2.39,1.257,0.12165,0.9149
"334.9185988",0.3237,-1.6273,0.12216,0.91306
"133.0436089",2.1367,1.0954,0.12579,0.90035
"109.0832583",2.0721,1.0511,0.12712,0.8958
"175.0374482",2.2308,1.1575,0.12867,0.89052
"402.8917469",0.33867,-1.562,0.12869,0.89045
"222.9918399",2.3434,1.2286,0.12919,0.88876
"318.9333966",0.3543,-1.497,0.13152,0.88102
"391.2895383",0.36944,-1.4366,0.13518,0.8691
"105.0373913",2.3213,1.2149,0.1373,0.86235
"432.0936065",2.2811,1.1897,0.1392,0.85636
"226.9639884",3.1088,1.6363,0.13954,0.8553
"292.95049",0.39869,-1.3267,0.14401,0.8416
"215.0702752",2.6168,1.3878,0.14464,0.83971
"89.01236452",2.309,1.2073,0.1455,0.83714
"1193.185618",6.4077,2.6798,0.14557,0.83693
"437.3309524",0.39544,-1.3385,0.14563,0.83676
"197.0025532",2.8182,1.4948,0.15169,0.81905
"468.1092027",2.3731,1.2468,0.15193,0.81836
"336.9359079",0.43279,-1.2083,0.15405,0.81235
"612.1934179",2.3437,1.2288,0.1565,0.80547
"191.1387678",0.42919,-1.2203,0.15758,0.80249
"158.1547292",1.9899,0.99268,0.15897,0.7987
"287.1454343",0.45709,-1.1294,0.15947,0.79733
"626.2500682",2.1986,1.1366,0.1604,0.79479
"261.089095",2.5798,1.3672,0.1611,0.7929
"257.1485952",2.5248,1.3361,0.16352,0.78644
"230.9612878",1.9025,0.92793,0.16777,0.77529
"160.0570536",2.0407,1.029,0.17174,0.76513
"248.980111",1.9357,0.95283,0.17263,0.76289
"185.1178068",0.013336,-6.2286,0.17324,0.76136
"558.2921476",2.125,1.0875,0.17437,0.75853
"370.9186498",0.014496,-6.1082,0.17484,0.75736
"273.1675",2.4666,1.3025,0.17485,0.75733
"199.007228",1.9776,0.98377,0.17752,0.75076
"91.03813406",2.648,1.4049,0.17755,0.75069
"684.2155697",2.3741,1.2474,0.17759,0.75058
"55.05443424",2.7389,1.4536,0.1784,0.7486
"430.8967616",0.018659,-5.744,0.17848,0.74842
"185.049156",2.3748,1.2478,0.17851,0.74833
"259.091503",2.162,1.1124,0.179,0.74716
"240.9619966",0.019119,-5.7089,0.17918,0.7467
"216.950738",0.021137,-5.5641,0.18067,0.74311
"175.1456845",0.023647,-5.4022,0.18334,0.73675
