"","FC","log2(FC)","raw.pval","-log10(p)"
"887.1109941",621.83,9.2804,1.7235e-09,8.7636
"885.1206516",526.03,9.039,3.6305e-08,7.44
"980.8682621",277.26,8.1151,3.2059e-07,6.4941
"486.5253444",0.00011931,-13.033,6.1292e-07,6.2126
"1096.874395",235.76,7.8812,6.979e-07,6.1562
"492.5647858",1430,10.482,4.8621e-06,5.3132
"73.34843595",1.5205,0.60456,0.0030912,2.5099
"250.8271064",2.4228,1.2766,0.0090622,2.0428
"1184.226543",1.9826,0.98742,0.013326,1.8753
"484.4973951",1.7696,0.82342,0.020154,1.6956
"89.16241428",0.60371,-0.72807,0.025497,1.5935
"304.400616",1.6651,0.73563,0.0297,1.5272
"964.2343096",1.4963,0.58139,0.034026,1.4682
"158.2646933",28.763,4.8462,0.034238,1.4655
"196.5855371",0.45996,-1.1204,0.035077,1.455
"252.3955795",2.3045,1.2045,0.036426,1.4386
"1142.8747",14.663,3.8741,0.03648,1.4379
"64.50863595",0.49077,-1.0269,0.039463,1.4038
"922.8091592",10.068,3.3317,0.044438,1.3522
"1024.339329",9.4444,3.2395,0.045242,1.3445
"56.34553762",1.2769,0.35266,0.055122,1.2587
"82.46568262",0.62207,-0.68485,0.05621,1.2502
"330.5746209",0.54453,-0.87691,0.056439,1.2484
"456.555058",1.597,0.67533,0.057985,1.2367
"637.3654695",2.7361,1.4521,0.058575,1.2323
"187.6822209",14.335,3.8414,0.063883,1.1946
"743.3194301",0.71048,-0.49313,0.064993,1.1871
"382.5942431",1.9289,0.94779,0.067835,1.1685
"92.45683484",9.2626,3.2114,0.072306,1.1408
"228.4972545",1.9698,0.97803,0.074073,1.1303
"396.2686491",1.769,0.82292,0.074625,1.1271
"284.5213867",1.3502,0.43319,0.075187,1.1239
"172.3828554",0.23156,-2.1105,0.081696,1.0878
"859.1225679",44.552,5.4774,0.088626,1.0524
"96.24964095",1.3906,0.47567,0.089378,1.0488
"569.4199197",1.7742,0.82714,0.095823,1.0185
"628.7624716",0.77153,-0.37421,0.099105,1.0039
"169.1213818",1.6468,0.7197,0.10712,0.97013
"108.3366411",0.29827,-1.7453,0.11099,0.95473
"687.4943055",3.3479,1.7433,0.11146,0.95289
