"","CJ2_1","CJ2_2","CJ2_3","CS2_1","CS2_2","CS2_3"
"Label","CJ","CJ","CJ","CS","CS","CS"
"55.05443424","-0.1149126"," 1.9130389","-0.1178185","-0.4178048","-0.8003777","-0.4621254"
"57.06847924","-0.1084627"," 1.7301591","-0.1584072","-0.4929908","-0.6826107","-0.2876876"
"58.03294671","-0.29731395"," 1.86146169","-0.59033483","-0.29254385","-0.63729497","-0.04397408"
"59.02047266"," 0.11196282"," 1.67241327"," 0.09648323","-0.90158372","-0.88059547","-0.09868013"
"60.98764222","-0.0918217"," 1.4380532","-0.1979062","-0.1776479","-0.5954810","-0.3751965"
"63.0040257"," 0.8904980","-0.7356694"," 1.3138445"," 0.7625235"," 0.6755519","-2.9067486"
"65.0439009","-1.4892621"," 0.5878806","-1.5681215"," 2.2499218"," 1.8027797","-1.5831986"
"67.05580414"," 0.2253650"," 1.6772242","-0.4870165","-0.3870211","-0.7575245","-0.2710271"
"69.06429588"," 0.2797735"," 1.6422003","-0.4980102","-0.4411106","-0.8454248","-0.1374282"
"71.07430393"," 0.1612119"," 1.9002175","-0.6971883","-0.5472232","-0.6943847","-0.1226331"
"72.99221092","-1.9643586"," 0.1127841","-2.0432181"," 2.9657109"," 2.9873768","-2.0582951"
"73.03690214","-0.7487705"," 1.7119939"," 0.6733280","-0.7758413","-1.1893327"," 0.3286226"
"75.00328232","-0.3354089"," 1.8947194","-0.2638850","-0.4468240","-0.5088892","-0.3397123"
"77.02066903","-0.37935049"," 1.67720944","-0.16173063","-0.54113809","-0.50506254","-0.08992769"
"79.01206271","-0.6553432"," 1.4856017","-0.4843969"," 0.5973841","-0.3643836","-0.5788622"
"81.06970932"," 0.05637642"," 1.73972631","-0.26388663","-0.48464024","-0.88488704","-0.16268883"
"83.06655752","-0.1028370"," 1.8813204","-0.2298265","-0.5637348","-0.9529130","-0.0320092"
"84.96074226","-0.1380172"," 1.8463910"," 0.3900647","-0.7282983","-0.8199397","-0.5502005"
"85.09845854"," 3.919777","-1.378561","-3.534564"," 2.375520"," 2.167468","-3.549641"
"87.02359551"," 0.19844034"," 1.98088349"," 0.01166189","-0.84039631","-1.11337269","-0.23721671"
"89.01236452"," 0.0287736"," 1.5579299"," 0.1118825","-0.9036674","-0.9947908"," 0.1998722"
"91.03813406"," 0.08696601"," 1.84795850","-0.27504675","-0.56662613","-0.83899117","-0.25426045"
"93.01809438","-0.0688410"," 1.7185893","-0.4642695","-0.2180230","-0.3397147","-0.6277411"
"95.07749959"," 0.02762805"," 1.83293649","-0.39437663","-0.33314786","-0.84201412","-0.29102593"
"97.07981459","-0.37012135"," 1.78424453"," 0.16828682","-0.56171648","-0.94589629","-0.07479723"
"99.00528293"," 0.3822726"," 1.8451973","-0.2159397","-0.5272344","-0.8576357","-0.6266600"
"100.0777206","-0.19868088"," 2.19420053","-0.66824468","-0.06165795","-0.52911741","-0.73649961"
"101.0609912"," 0.01880575"," 1.71553067"," 0.13809322","-0.74557781","-1.11149384","-0.01535799"
"103.0180665","-0.1717922"," 1.2688687"," 0.0647792","-0.6027482","-0.6851174"," 0.1260099"
"105.0373913"," 0.1747560"," 1.5502080","-0.1673557","-0.5010641","-0.8659169","-0.1906273"
"107.0377168","-0.3034405"," 1.8049989","-0.2615304","-0.4721389","-0.4927809","-0.2751081"
"109.0832583"," 0.12417687"," 1.33175870","-0.02077752","-0.20189683","-0.98455151","-0.24870971"
"111.0644337","-0.1187720"," 1.8648343","-0.1102352","-0.2591888","-0.8670055","-0.5096327"
"113.0519645"," 0.7318619","-3.3249223"," 1.0521264"," 0.3223521"," 0.1474348"," 1.0711471"
"114.0781673"," 3.9456444","-0.1169418","-2.2729439"," 3.5096603","-2.7773981","-2.2880209"
"115.0430997","-0.3161368"," 1.6135748"," 0.2956058","-0.8618521","-1.1179021"," 0.3867104"
"116.0592061"," 1.0538051","-3.2988464"," 0.8575681"," 0.3070750"," 0.1799769"," 0.9004214"
"117.0137418","-0.11425982"," 1.88874359","-0.32829713","-0.59834093","-0.80815099","-0.03969472"
"119.0385837"," 0.2359420"," 1.2390182"," 0.5337173","-1.1688023","-1.3467187"," 0.5068434"
"119.0901745","-2.3901862","-0.3130435","-2.4690456"," 4.0230253"," 3.6333727","-2.4841227"
"121.0227584","-0.3613612"," 1.6464431","-0.2781850","-0.2789455","-0.4493420","-0.2786095"
"122.9790462"," 3.754004","-1.381817","-3.537819"," 2.423260"," 2.295268","-3.552896"
"123.103664","-4.827940"," 4.006729","-4.906800"," 2.347844"," 1.471417"," 1.908751"
"125.0546421"," 0.2225579"," 1.6554476","-0.4883964","-0.5580846","-0.5884861","-0.2430384"
"127.0642825"," 1.0650332"," 2.7673770","-5.9584860"," 0.7356890"," 0.5397242"," 0.8506626"
"128.0598444","-2.3292263","-0.2520836","-2.4080857"," 3.8473168"," 3.5652415","-2.4231628"
"129.0447252","-0.1216251"," 1.2685356"," 0.3404306","-1.1116840","-1.2769315"," 0.9012745"
"131.0229838","-0.2548253"," 1.8289771","-0.2663659","-0.4953459","-0.5641468","-0.2482932"
"133.0436089"," 0.24644449"," 1.35614661","-0.02746988","-0.79585066","-0.93379416"," 0.15452360"
"135.0403004"," 0.1682144"," 1.6583798","-0.4143801","-0.4147431","-0.5248481","-0.4726229"
"136.0761876"," 0.2161059"," 2.0455450"," 0.1070799","-0.6506800","-1.0328333","-0.6852175"
"137.0218256"," 0.2915314"," 1.7689067","-0.5057809","-0.5650024","-0.6394676","-0.3501871"
"137.1019598","-2.5607153","-0.4835726","-2.6395747"," 4.5279777"," 3.8105368","-2.6546518"
"138.9853475"," 1.1295653"," 2.7338930"," 0.7505823"," 0.8595846"," 0.6163460","-6.0899711"
"142.0462369"," 3.466657","-1.550130","-3.706132"," 2.969835"," 2.540980","-3.721209"
"143.0247796"," 1.1356378","-3.9066467"," 0.9648280"," 0.5104714"," 0.3943892"," 0.9013203"
"144.0652587"," 2.262190","-2.769390"," 1.843590"," 1.968511"," 1.635568","-4.940469"
"145.0376918"," 0.08397506"," 1.55462554","-0.43031721","-0.40963343","-0.62777612","-0.17087384"
"146.1149503","-2.4034831","-0.3263404"," 4.3609484"," 3.8530914","-2.9867967","-2.4974196"
"147.0412503","-0.5545187"," 1.0714629"," 0.5418472","-0.8890560","-1.0299964"," 0.8602609"
"149.0223413","-0.44308764"," 1.88654939","-0.25287499","-0.46177293","-0.76475099"," 0.03593716"
"150.0297289"," 0.2539202"," 1.5564324","-0.2248728","-0.3782717","-0.6831304","-0.5240776"
"150.9903498","-0.15239589"," 1.39365680","-0.06849601","-0.55408610","-0.52801022","-0.09066858"
